PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34286689","Comparison of Lyme Disease in the United States and Europe","Marques AR, Strle F, Wormser GP.","Emerg Infect Dis. 2021 Aug;27(8):2017-2024. doi: 10.3201/eid2708.204763.","Marques AR","Emerg Infect Dis","2021","2021/07/21","PMC8314816","","10.3201/eid2708.204763"
"38848249","Avian Influenza A(H5N1) Virus among Dairy Cattle, Texas, USA","Oguzie JU, Marushchak LV, Shittu I, Lednicky JA, Miller AL, Hao H, Nelson MI, Gray GC.","Emerg Infect Dis. 2024 Jul;30(7):1425-1429. doi: 10.3201/eid3007.240717. Epub 2024 Jun 7.","Oguzie JU","Emerg Infect Dis","2024","2024/06/07","PMC11210641","","10.3201/eid3007.240717"
"38019211","Clade I-Associated Mpox Cases Associated with Sexual Contact, the Democratic Republic of the Congo","Kibungu EM, Vakaniaki EH, Kinganda-Lusamaki E, Kalonji-Mukendi T, Pukuta E, Hoff NA, Bogoch II, Cevik M, Gonsalves GS, Hensley LE, Low N, Shaw SY, Schillberg E, Hunter M, Lunyanga L, Linsuke S, Madinga J, Peeters M, Cigolo JM, Ahuka-Mundeke S, Muyembe JJ, Rimoin AW, Kindrachuk J, Mbala-Kingebeni P, Lushima RS; International Mpox Research Consortium.","Emerg Infect Dis. 2024 Jan;30(1):172-176. doi: 10.3201/eid3001.231164. Epub 2023 Nov 29.","Kibungu EM","Emerg Infect Dis","2024","2023/11/29","PMC10756366","","10.3201/eid3001.231164"
"36958029","Challenges in Forecasting Antimicrobial Resistance","Pei S, Blumberg S, Vega JC, Robin T, Zhang Y, Medford RJ, Adhikari B, Shaman J; CDC MIND-Healthcare Program.","Emerg Infect Dis. 2023 Apr;29(4):679-685. doi: 10.3201/eid2904.221552.","Pei S","Emerg Infect Dis","2023","2023/03/23","PMC10045679","","10.3201/eid2904.221552"
"39255237","Oropouche Fever, Cuba, May 2024","Benitez AJ, Alvarez M, Perez L, Gravier R, Serrano S, Hernandez DM, Perez MM, Gutierrez-Bugallo G, Martinez Y, Companioni A, Peña C, de Armas JR, Couto D, Betancourt I I, Sanchez MR, Resik S, Kouri V, Guzman MG.","Emerg Infect Dis. 2024 Oct;30(10):2155-2159. doi: 10.3201/eid3010.240900. Epub 2024 Sep 10.","Benitez AJ","Emerg Infect Dis","2024","2024/09/10","PMC11431908","","10.3201/eid3010.240900"
"32187505","Crimean-Congo Hemorrhagic Fever, Mauritania","Boushab BM, Kelly M, Kébé H, Bollahi MA, Basco LK.","Emerg Infect Dis. 2020 Apr;26(4):817-818. doi: 10.3201/eid2604.191292.","Boushab BM","Emerg Infect Dis","2020","2020/03/19","PMC7101092","","10.3201/eid2604.191292"
"39259828","Mpox Epidemiology and Vaccine Effectiveness, England, 2023","Charles H, Thorley K, Turner C, Bennet KF, Andrews N, Bertran M, Mandal S, Amirthalingam G, Ramsay ME, Mohammed H, Sinka K.","Emerg Infect Dis. 2024 Oct;30(10):2145-2148. doi: 10.3201/eid3010.240292. Epub 2024 Sep 11.","Charles H","Emerg Infect Dis","2024","2024/09/11","PMC11431895","","10.3201/eid3010.240292"
"36573733","Bourbon Virus Transmission, New York, USA","Dupuis AP 2nd, Prusinski MA, O'Connor C, Maffei JG, Koetzner CA, Zembsch TE, Zink SD, White AL, Santoriello MP, Romano CL, Xu G, Ribbe F, Campbell SR, Rich SM, Backenson PB, Kramer LD, Ciota AT.","Emerg Infect Dis. 2023 Jan;29(1):145-148. doi: 10.3201/eid2901.220283.","Dupuis AP 2nd","Emerg Infect Dis","2023","2022/12/27","PMC9796220","","10.3201/eid2901.220283"
"34932935","Transfusion-Transmitted Hepatitis A Virus, France, 2018","Lefeuvre C, Lefort C, Boyer F, Le Cam S, Mouna L, Roque-Afonso AM, Le Guillou-Guillemette H, Mahieu R.","Emerg Infect Dis. 2022 Jan;28(1):219-223. doi: 10.3201/eid2801.210403.","Lefeuvre C","Emerg Infect Dis","2022","2021/12/21","PMC8714218","","10.3201/eid2801.210403"
"40023798","Corynebacterium diphtheriae Infections, South Africa, 2015-2023","du Plessis M, Mikhari R, de Gouveia L, Duma N, Lovelock T, Lawrence C, Mahabeer P, Mahabeer Y, Govender N, Nzenze S, Featherston J, Moodley M, Moyes J, Walaza S, Cohen C, von Gottberg A.","Emerg Infect Dis. 2025 Mar;31(3):417-426. doi: 10.3201/eid3103.241211.","du Plessis M","Emerg Infect Dis","2025","2025/03/02","PMC11878320","","10.3201/eid3103.241211"
"38437706","Potential Sexual Transmission of Antifungal-Resistant Trichophyton indotineae","Spivack S, Gold JAW, Lockhart SR, Anand P, Quilter LAS, Smith DJ, Bowen B, Gould JM, Eltokhy A, Gamal A, Retuerto M, McCormick TS, Ghannoum MA.","Emerg Infect Dis. 2024 Apr;30(4):807-809. doi: 10.3201/eid3004.240115. Epub 2024 Mar 4.","Spivack S","Emerg Infect Dis","2024","2024/03/04","PMC10977831","","10.3201/eid3004.240115"
"38666566","Crimean Congo Hemorrhagic Fever Virus for Clinicians-Virology, Pathogenesis, and Pathology","Frank MG, Weaver G, Raabe V; State of the Clinical Science Working Group of the National Emerging Pathogens Training and Education Center’s Special Pathogens Research Network.","Emerg Infect Dis. 2024 May;30(5):847-853. doi: 10.3201/eid3005.231646.","Frank MG","Emerg Infect Dis","2024","2024/04/26","PMC11060449","","10.3201/eid3005.231646"
"36958028","Nocardia pseudobrasiliensis Co-infection in SARS-CoV-2 Patients","Stamos DB, Barajas-Ochoa A, Raybould JE.","Emerg Infect Dis. 2023 Apr;29(4):696-700. doi: 10.3201/eid2904.221439.","Stamos DB","Emerg Infect Dis","2023","2023/03/23","PMC10045714","","10.3201/eid2904.221439"
"38916584","Reemergence of Clade IIb-Associated Mpox, Germany, July-December 2023","Obermeier PE, Plinke CF, Brinkmann A, Lachmann R, Melchert J, Corman VM, Nitsche A, Marcus U, Schmidt AJ, Jansen K, Buder SC.","Emerg Infect Dis. 2024 Jul;30(7):1416-1419. doi: 10.3201/eid3007.240092.","Obermeier PE","Emerg Infect Dis","2024","2024/06/25","PMC11210634","","10.3201/eid3007.240092"
"39428565","Invasive Group A Streptococcus Hypervirulent M1(UK) Clone, Canada, 2018-2023","Golden AR, Griffith A, Tyrrell GJ, Kus JV, McGeer A, Domingo MC, Grant J, Minion J, Van Caeseele P, Desnoyers G, Haldane D, Yu Y, Ding X, Steven L, McFadzen J, Primeau C, Martin I.","Emerg Infect Dis. 2024 Nov;30(11):2409-2413. doi: 10.3201/eid3011.241068. Epub 2024 Oct 20.","Golden AR","Emerg Infect Dis","2024","2024/10/20","PMC11521172","","10.3201/eid3011.241068"
"39043405","Fatal SARS-CoV-2 Infection among Children, Japan, January-September 2022(1)","Mitsushima S, Yahata Y, Tsuchihashi Y, Ikenoue C, Fukusumi M, Otake S, Shimada T, Yamagishi T, Kamiya H, Kobayashi Y, Kurosu H, Okuyama M, Morino S, Shibamura M, Takanashi S, Kamigaki T, Otani K, Nakashita M, Ito H, Miyazaki A, Koshiko M, Harakuni M, Onuma M, Chiba H, Masutani M, Sudani N, Satsuki Y, Takara T, Oka A, Katsuta T, Shimizu N, Saitoh A, Sakamoto T, Suzuki M, Sunagawa T; COVID-19 Fatal Pediatric Cases Database Group.","Emerg Infect Dis. 2024 Aug;30(8):1589-1598. doi: 10.3201/eid3008.240031.","Mitsushima S","Emerg Infect Dis","2024","2024/07/23","PMC11286078","","10.3201/eid3008.240031"
"39361770","Influenza A(H5N1) Virus Resilience in Milk after Thermal Inactivation","Caceres CJ, Gay LC, Faccin FC, Regmi D, Palomares R, Perez DR.","Emerg Infect Dis. 2024 Nov;30(11):2426-2429. doi: 10.3201/eid3011.240772. Epub 2024 Oct 3.","Caceres CJ","Emerg Infect Dis","2024","2024/10/03","PMC11521188","","10.3201/eid3011.240772"
"36823956","SARS-CoV-2 Infection in a Hippopotamus, Hanoi, Vietnam","Bui VN, Dao TD, Tran LH, Vu TT, Nguyen TH, Nguyen GH, Tran KVD, Nguyen HX, Bui AN, Unger F, Nguyen-Viet H, Lee HS.","Emerg Infect Dis. 2023 Mar;29(3):658-661. doi: 10.3201/eid2903.220915.","Bui VN","Emerg Infect Dis","2023","2023/02/24","PMC9973694","","10.3201/eid2903.220915"
"36878013","Human Metapneumovirus Infections during COVID-19 Pandemic, Spain","García-García ML, Pérez-Arenas E, Pérez-Hernandez P, Falces-Romero I, Ruiz S, Pozo F, Casas I, Calvo C.","Emerg Infect Dis. 2023 Apr;29(4):850-852. doi: 10.3201/eid2904.230046. Epub 2023 Mar 6.","García-García ML","Emerg Infect Dis","2023","2023/03/06","PMC10045705","","10.3201/eid2904.230046"
"39174019","Recognition of Antifungal-Resistant Dermatophytosis by Infectious Diseases Specialists, United States","Gold JAW, Benedict K, Lockhart SR, Lutfy C, Lyman M, Smith DJ, Polgreen PM, Beekmann SE.","Emerg Infect Dis. 2024 Sep;30(9):1978-1980. doi: 10.3201/eid3009.240118.","Gold JAW","Emerg Infect Dis","2024","2024/08/22","PMC11346978","","10.3201/eid3009.240118"
"40023796","Influenza A(H5N1) Immune Response among Ferrets with Influenza A(H1N1)pdm09 Immunity","Le Sage V, Werner BD, Merrbach GA, Petnuch SE, O'Connell AK, Simmons HC, McCarthy KR, Reed DS, Moncla LH, Bhavsar D, Krammer F, Crossland NA, McElroy AK, Duprex WP, Lakdawala SS.","Emerg Infect Dis. 2025 Mar;31(3):477-487. doi: 10.3201/eid3103.241485.","Le Sage V","Emerg Infect Dis","2025","2025/03/02","PMC11878318","","10.3201/eid3103.241485"
"39127126","Role of Direct Sexual Contact in Human Transmission of Monkeypox Virus, Italy","Sberna G, Rozera G, Minosse C, Bordi L, Mazzotta V, D'Abramo A, Girardi E, Antinori A, Maggi F, Lalle E.","Emerg Infect Dis. 2024 Sep;30(9):1829-1833. doi: 10.3201/eid3009.240075. Epub 2024 Aug 10.","Sberna G","Emerg Infect Dis","2024","2024/08/10","PMC11346984","","10.3201/eid3009.240075"
